"","tpr","fpr","tdr","shd","method","is_directed","subj","sim"
"725",0,0,NA,5,"arges","directed",26,1
"226",1,0.133333333333333,0.833333333333333,1,"pc","undirected",27,1
"326",0.6,0.2,0.428571428571429,4,"pc","directed",27,1
"426",1,0,1,0,"ges","undirected",27,1
"526",0.6,0.25,0.375,5,"ges","directed",27,1
"626",0,0,NA,5,"arges","undirected",27,1
"726",0,0,NA,5,"arges","directed",27,1
"227",1,0,1,0,"pc","undirected",28,1
"327",0.8,0.05,0.8,1,"pc","directed",28,1
"427",0.8,0,1,1,"ges","undirected",28,1
"527",0.8,0.2,0.5,5,"ges","directed",28,1
"627",0,0,NA,5,"arges","undirected",28,1
"727",0,0,NA,5,"arges","directed",28,1
"228",1,0,1,0,"pc","undirected",29,1
"328",0.8,0.05,0.8,1,"pc","directed",29,1
"428",1,0,1,0,"ges","undirected",29,1
"528",0.8,0.2,0.5,4,"ges","directed",29,1
"628",0,0,NA,5,"arges","undirected",29,1
"728",0,0,NA,5,"arges","directed",29,1
"229",0.8,0.133333333333333,0.8,2,"pc","undirected",30,1
"329",0.6,0.1,0.6,3,"pc","directed",30,1
"429",0.8,0.133333333333333,0.8,2,"ges","undirected",30,1
"529",0.6,0.1,0.6,3,"ges","directed",30,1
"629",0,0,NA,5,"arges","undirected",30,1
"729",0,0,NA,5,"arges","directed",30,1
"230",0.8,0,1,1,"pc","undirected",31,1
"330",0.8,0.2,0.5,5,"pc","directed",31,1
"430",0.8,0,1,1,"ges","undirected",31,1
"530",0.8,0.2,0.5,5,"ges","directed",31,1
"630",0.2,0,1,4,"arges","undirected",31,1
"730",0.2,0.05,0.5,5,"arges","directed",31,1
"231",0.8,0,1,1,"pc","undirected",32,1
"331",0.8,0.1,0.666666666666667,3,"pc","directed",32,1
"431",1,0,1,0,"ges","undirected",32,1
"531",1,0.15,0.625,3,"ges","directed",32,1
"631",0,0,NA,5,"arges","undirected",32,1
"731",0,0,NA,5,"arges","directed",32,1
"232",1,0.133333333333333,0.833333333333333,1,"pc","undirected",33,1
"332",1,0.1,0.714285714285714,2,"pc","directed",33,1
"432",0.8,0.133333333333333,0.8,2,"ges","undirected",33,1
"532",0.8,0.2,0.5,5,"ges","directed",33,1
"632",0.2,0,1,4,"arges","undirected",33,1
"732",0.2,0.05,0.5,5,"arges","directed",33,1
"233",0.6,0,1,2,"pc","undirected",34,1
"333",0.6,0.05,0.75,3,"pc","directed",34,1
"433",0.6,0,1,2,"ges","undirected",34,1
"533",0.6,0.05,0.75,3,"ges","directed",34,1
"633",0.2,0,1,4,"arges","undirected",34,1
"733",0.2,0.05,0.5,5,"arges","directed",34,1
"234",1,0,1,0,"pc","undirected",35,1
"334",0.8,0.05,0.8,1,"pc","directed",35,1
"434",0.8,0,1,1,"ges","undirected",35,1
"534",0.2,0.15,0.25,4,"ges","directed",35,1
"634",0,0,NA,5,"arges","undirected",35,1
"734",0,0,NA,5,"arges","directed",35,1
"235",1,0,1,0,"pc","undirected",36,1
"335",0.8,0.1,0.666666666666667,2,"pc","directed",36,1
"435",1,0,1,0,"ges","undirected",36,1
"535",1,0.15,0.625,3,"ges","directed",36,1
"635",0,0,NA,5,"arges","undirected",36,1
"735",0,0,NA,5,"arges","directed",36,1
"236",1,0.133333333333333,0.833333333333333,1,"pc","undirected",37,1
"336",0.8,0.1,0.666666666666667,2,"pc","directed",37,1
"436",1,0.133333333333333,0.833333333333333,1,"ges","undirected",37,1
"536",0.4,0.2,0.333333333333333,4,"ges","directed",37,1
"636",0,0,NA,5,"arges","undirected",37,1
"736",0,0,NA,5,"arges","directed",37,1
"237",1,0,1,0,"pc","undirected",38,1
"337",1,0.05,0.833333333333333,1,"pc","directed",38,1
"437",1,0,1,0,"ges","undirected",38,1
"537",0.8,0.2,0.5,4,"ges","directed",38,1
"637",0,0,NA,5,"arges","undirected",38,1
"737",0,0,NA,5,"arges","directed",38,1
"238",1,0.133333333333333,0.833333333333333,1,"pc","undirected",39,1
"338",0.4,0.2,0.333333333333333,4,"pc","directed",39,1
"438",1,0.133333333333333,0.833333333333333,1,"ges","undirected",39,1
"538",0.6,0.25,0.375,5,"ges","directed",39,1
"638",0,0,NA,5,"arges","undirected",39,1
"738",0,0,NA,5,"arges","directed",39,1
"239",0.8,0.133333333333333,0.8,2,"pc","undirected",40,1
"339",0.6,0.1,0.6,3,"pc","directed",40,1
"439",1,0,1,0,"ges","undirected",40,1
"539",0.8,0.1,0.666666666666667,2,"ges","directed",40,1
"639",0,0,NA,5,"arges","undirected",40,1
"739",0,0,NA,5,"arges","directed",40,1
"240",1,0.133333333333333,0.833333333333333,1,"pc","undirected",41,1
"340",1,0.15,0.625,3,"pc","directed",41,1
"440",1,0,1,0,"ges","undirected",41,1
"540",0.6,0.25,0.375,5,"ges","directed",41,1
"640",0,0,NA,5,"arges","undirected",41,1
"740",0,0,NA,5,"arges","directed",41,1
"241",1,0,1,0,"pc","undirected",42,1
"341",0.8,0.05,0.8,1,"pc","directed",42,1
"441",1,0,1,0,"ges","undirected",42,1
"541",0.8,0.2,0.5,4,"ges","directed",42,1
"641",0,0,NA,5,"arges","undirected",42,1
"741",0,0,NA,5,"arges","directed",42,1
"242",0.8,0,1,1,"pc","undirected",43,1
"342",0.8,0.05,0.8,2,"pc","directed",43,1
"442",0.8,0,1,1,"ges","undirected",43,1
"542",0.8,0.1,0.666666666666667,3,"ges","directed",43,1
"642",0,0,NA,5,"arges","undirected",43,1
"742",0,0,NA,5,"arges","directed",43,1
"243",1,0.133333333333333,0.833333333333333,1,"pc","undirected",44,1
"343",0.8,0.15,0.571428571428571,3,"pc","directed",44,1
"443",1,0.133333333333333,0.833333333333333,1,"ges","undirected",44,1
"543",0.8,0.3,0.4,5,"ges","directed",44,1
"643",0,0,NA,5,"arges","undirected",44,1
"743",0,0,NA,5,"arges","directed",44,1
"244",1,0,1,0,"pc","undirected",45,1
"344",0.8,0.05,0.8,1,"pc","directed",45,1
"444",1,0,1,0,"ges","undirected",45,1
"544",1,0.15,0.625,3,"ges","directed",45,1
"644",0,0,NA,5,"arges","undirected",45,1
"744",0,0,NA,5,"arges","directed",45,1
"245",0.8,0.133333333333333,0.8,2,"pc","undirected",46,1
"345",0.6,0.15,0.5,4,"pc","directed",46,1
"445",0.8,0,1,1,"ges","undirected",46,1
"545",0.8,0.1,0.666666666666667,3,"ges","directed",46,1
"645",0,0,NA,5,"arges","undirected",46,1
"745",0,0,NA,5,"arges","directed",46,1
"246",1,0,1,0,"pc","undirected",47,1
"346",0.6,0.1,0.6,2,"pc","directed",47,1
"446",1,0,1,0,"ges","undirected",47,1
"546",1,0.15,0.625,3,"ges","directed",47,1
"646",0,0,NA,5,"arges","undirected",47,1
"746",0,0,NA,5,"arges","directed",47,1
"247",0.8,0.133333333333333,0.8,2,"pc","undirected",48,1
"347",0.6,0.15,0.5,4,"pc","directed",48,1
"447",0.8,0.133333333333333,0.8,2,"ges","undirected",48,1
"547",0.6,0.15,0.5,4,"ges","directed",48,1
"647",0,0,NA,5,"arges","undirected",48,1
"747",0,0,NA,5,"arges","directed",48,1
"248",1,0,1,0,"pc","undirected",49,1
"348",1,0,1,0,"pc","directed",49,1
"448",1,0,1,0,"ges","undirected",49,1
"548",0.8,0.1,0.666666666666667,2,"ges","directed",49,1
"648",0,0,NA,5,"arges","undirected",49,1
"748",0,0,NA,5,"arges","directed",49,1
"249",1,0,1,0,"pc","undirected",50,1
"349",0.8,0.1,0.666666666666667,2,"pc","directed",50,1
"449",1,0,1,0,"ges","undirected",50,1
"549",0.8,0.2,0.5,4,"ges","directed",50,1
"649",0,0,NA,5,"arges","undirected",50,1
"749",0,0,NA,5,"arges","directed",50,1
"250",1,0.0769230769230769,0.785714285714286,3,"pc","undirected",1,2
"350",0.727272727272727,0.0674157303370786,0.571428571428571,6,"pc","directed",1,2
"450",1,0.0769230769230769,0.785714285714286,3,"ges","undirected",1,2
"550",0.545454545454545,0.101123595505618,0.4,9,"ges","directed",1,2
"650",0,0,NA,11,"arges","undirected",1,2
"750",0,0,NA,11,"arges","directed",1,2
"2110",1,0.0256410256410256,0.916666666666667,1,"pc","undirected",2,2
"3110",0.909090909090909,0.0224719101123595,0.833333333333333,2,"pc","directed",2,2
"4110",1,0.0256410256410256,0.916666666666667,1,"ges","undirected",2,2
"5110",0.818181818181818,0.0898876404494382,0.529411764705882,8,"ges","directed",2,2
"6110",0,0,NA,11,"arges","undirected",2,2
"7110",0,0,NA,11,"arges","directed",2,2
"2210",0.909090909090909,0.0512820512820513,0.833333333333333,3,"pc","undirected",3,2
"3210",0.727272727272727,0.0561797752808989,0.615384615384615,6,"pc","directed",3,2
"4210",0.909090909090909,0.0512820512820513,0.833333333333333,3,"ges","undirected",3,2
"5210",0.727272727272727,0.0561797752808989,0.615384615384615,6,"ges","directed",3,2
"6210",0,0,NA,11,"arges","undirected",3,2
"7210",0,0,NA,11,"arges","directed",3,2
"2310",1,0.0512820512820513,0.846153846153846,2,"pc","undirected",4,2
"3310",0.909090909090909,0.0337078651685393,0.769230769230769,3,"pc","directed",4,2
"4310",1,0,1,0,"ges","undirected",4,2
"5310",0.818181818181818,0.0674157303370786,0.6,6,"ges","directed",4,2
"6310",0,0,NA,11,"arges","undirected",4,2
"7310",0,0,NA,11,"arges","directed",4,2
"2410",0.909090909090909,0.0512820512820513,0.833333333333333,3,"pc","undirected",5,2
"3410",0.909090909090909,0.0224719101123595,0.833333333333333,3,"pc","directed",5,2
"4410",0.909090909090909,0.0512820512820513,0.833333333333333,3,"ges","undirected",5,2
"5410",0.727272727272727,0.0786516853932584,0.533333333333333,8,"ges","directed",5,2
"6410",0,0,NA,11,"arges","undirected",5,2
"7410",0,0,NA,11,"arges","directed",5,2
"251",0.909090909090909,0.0512820512820513,0.833333333333333,3,"pc","undirected",6,2
"351",0.909090909090909,0.0337078651685393,0.769230769230769,4,"pc","directed",6,2
"451",0.909090909090909,0.0769230769230769,0.769230769230769,4,"ges","undirected",6,2
"551",0.909090909090909,0.0674157303370786,0.625,7,"ges","directed",6,2
"651",0,0,NA,11,"arges","undirected",6,2
"751",0,0,NA,11,"arges","directed",6,2
