"","tpr","fpr","tdr","shd","method","is_directed","subj","sim"
"61102",0,0,NA,11,"arges","undirected",2,17
"71102",0,0,NA,11,"arges","directed",2,17
"22100",1,0.0256410256410256,0.916666666666667,1,"pc","undirected",3,17
"32100",0.818181818181818,0.0449438202247191,0.692307692307692,4,"pc","directed",3,17
"42100",1,0.0769230769230769,0.785714285714286,3,"ges","undirected",3,17
"52100",0.727272727272727,0.134831460674157,0.4,12,"ges","directed",3,17
"62100",0,0,NA,11,"arges","undirected",3,17
"72100",0,0,NA,11,"arges","directed",3,17
"23100",1,0,1,0,"pc","undirected",4,17
"33100",0.909090909090909,0.0449438202247191,0.714285714285714,4,"pc","directed",4,17
"43100",1,0.0256410256410256,0.916666666666667,1,"ges","undirected",4,17
"53100",0.909090909090909,0.0561797752808989,0.666666666666667,5,"ges","directed",4,17
"63100",0,0,NA,11,"arges","undirected",4,17
"73100",0,0,NA,11,"arges","directed",4,17
"24100",0.909090909090909,0.0512820512820513,0.833333333333333,3,"pc","undirected",5,17
"34100",0.818181818181818,0.0449438202247191,0.692307692307692,5,"pc","directed",5,17
"44100",0.909090909090909,0.0769230769230769,0.769230769230769,4,"ges","undirected",5,17
"54100",0.545454545454545,0.0898876404494382,0.428571428571429,9,"ges","directed",5,17
"64100",0,0,NA,11,"arges","undirected",5,17
"74100",0,0,NA,11,"arges","directed",5,17
"2520",1,0.0512820512820513,0.846153846153846,2,"pc","undirected",6,17
"3520",1,0.0337078651685393,0.785714285714286,3,"pc","directed",6,17
"4520",1,0.0512820512820513,0.846153846153846,2,"ges","undirected",6,17
"5520",1,0.0674157303370786,0.647058823529412,6,"ges","directed",6,17
"6520",0,0,NA,11,"arges","undirected",6,17
"7520",0,0,NA,11,"arges","directed",6,17
"2618",1,0.0769230769230769,0.785714285714286,3,"pc","undirected",7,17
"3618",0.909090909090909,0.0449438202247191,0.714285714285714,4,"pc","directed",7,17
"4618",1,0.0769230769230769,0.785714285714286,3,"ges","undirected",7,17
"5618",0.454545454545455,0.112359550561798,0.333333333333333,10,"ges","directed",7,17
"6618",0,0,NA,11,"arges","undirected",7,17
"7618",0,0,NA,11,"arges","directed",7,17
"2716",0.909090909090909,0.0256410256410256,0.909090909090909,2,"pc","undirected",8,17
"3716",0.727272727272727,0.0674157303370786,0.571428571428571,7,"pc","directed",8,17
"4716",0.909090909090909,0,1,1,"ges","undirected",8,17
"5716",0.818181818181818,0.0674157303370786,0.6,7,"ges","directed",8,17
"6716",0.0909090909090909,0,1,10,"arges","undirected",8,17
"7716",0.0909090909090909,0.0112359550561798,0.5,11,"arges","directed",8,17
"2816",1,0.0256410256410256,0.916666666666667,1,"pc","undirected",9,17
"3816",0.909090909090909,0.0224719101123595,0.833333333333333,2,"pc","directed",9,17
"4816",1,0.0769230769230769,0.785714285714286,3,"ges","undirected",9,17
"5816",1,0.0898876404494382,0.578947368421053,7,"ges","directed",9,17
"6816",0,0,NA,11,"arges","undirected",9,17
"7816",0,0,NA,11,"arges","directed",9,17
"2916",1,0.0512820512820513,0.846153846153846,2,"pc","undirected",10,17
"3916",1,0.0337078651685393,0.785714285714286,3,"pc","directed",10,17
"4916",1,0.0512820512820513,0.846153846153846,2,"ges","undirected",10,17
"5916",0.818181818181818,0.0898876404494382,0.529411764705882,7,"ges","directed",10,17
"6916",0,0,NA,11,"arges","undirected",10,17
"7916",0,0,NA,11,"arges","directed",10,17
"21016",0.909090909090909,0.0769230769230769,0.769230769230769,4,"pc","undirected",11,17
"31016",0.818181818181818,0.0561797752808989,0.642857142857143,6,"pc","directed",11,17
"41016",0.818181818181818,0.0512820512820513,0.818181818181818,4,"ges","undirected",11,17
"51016",0.727272727272727,0.0561797752808989,0.615384615384615,7,"ges","directed",11,17
"61016",0.0909090909090909,0,1,10,"arges","undirected",11,17
"71016",0.0909090909090909,0.0112359550561798,0.5,11,"arges","directed",11,17
"21120",1,0.0256410256410256,0.916666666666667,1,"pc","undirected",12,17
"31120",0.818181818181818,0.0449438202247191,0.692307692307692,4,"pc","directed",12,17
"41120",1,0.0256410256410256,0.916666666666667,1,"ges","undirected",12,17
"51120",0.909090909090909,0.0674157303370786,0.625,6,"ges","directed",12,17
"61120",0,0,NA,11,"arges","undirected",12,17
"71120",0,0,NA,11,"arges","directed",12,17
"21218",0.909090909090909,0.0512820512820513,0.833333333333333,3,"pc","undirected",13,17
"31218",0.909090909090909,0.0337078651685393,0.769230769230769,4,"pc","directed",13,17
"41218",0.909090909090909,0.0512820512820513,0.833333333333333,3,"ges","undirected",13,17
"51218",0.636363636363636,0.0674157303370786,0.538461538461538,7,"ges","directed",13,17
"61218",0,0,NA,11,"arges","undirected",13,17
"71218",0,0,NA,11,"arges","directed",13,17
"21316",1,0.0512820512820513,0.846153846153846,2,"pc","undirected",14,17
"31316",0.818181818181818,0.0561797752808989,0.642857142857143,5,"pc","directed",14,17
"41316",1,0.0256410256410256,0.916666666666667,1,"ges","undirected",14,17
"51316",0.727272727272727,0.0786516853932584,0.533333333333333,7,"ges","directed",14,17
"61316",0,0,NA,11,"arges","undirected",14,17
"71316",0,0,NA,11,"arges","directed",14,17
"21416",1,0.0512820512820513,0.846153846153846,2,"pc","undirected",15,17
"31416",1,0.0224719101123595,0.846153846153846,2,"pc","directed",15,17
"41416",0.909090909090909,0.0256410256410256,0.909090909090909,2,"ges","undirected",15,17
"51416",0.545454545454545,0.0674157303370786,0.5,7,"ges","directed",15,17
"61416",0,0,NA,11,"arges","undirected",15,17
"71416",0,0,NA,11,"arges","directed",15,17
"21516",1,0.0769230769230769,0.785714285714286,3,"pc","undirected",16,17
"31516",0.909090909090909,0.0449438202247191,0.714285714285714,4,"pc","directed",16,17
"41516",1,0.102564102564103,0.733333333333333,4,"ges","undirected",16,17
"51516",0.909090909090909,0.0898876404494382,0.555555555555556,8,"ges","directed",16,17
"61516",0,0,NA,11,"arges","undirected",16,17
"71516",0,0,NA,11,"arges","directed",16,17
"21616",1,0,1,0,"pc","undirected",17,17
"31616",0.909090909090909,0.0224719101123595,0.833333333333333,2,"pc","directed",17,17
"41616",1,0,1,0,"ges","undirected",17,17
"51616",1,0.0449438202247191,0.733333333333333,4,"ges","directed",17,17
"61616",0,0,NA,11,"arges","undirected",17,17
"71616",0,0,NA,11,"arges","directed",17,17
"21716",1,0,1,0,"pc","undirected",18,17
"31716",0.818181818181818,0.0449438202247191,0.692307692307692,4,"pc","directed",18,17
"41716",1,0,1,0,"ges","undirected",18,17
"51716",0.909090909090909,0.0337078651685393,0.769230769230769,3,"ges","directed",18,17
"61716",0,0,NA,11,"arges","undirected",18,17
"71716",0,0,NA,11,"arges","directed",18,17
"21816",1,0.0256410256410256,0.916666666666667,1,"pc","undirected",19,17
"31816",0.818181818181818,0.0449438202247191,0.692307692307692,4,"pc","directed",19,17
"41816",1,0.0256410256410256,0.916666666666667,1,"ges","undirected",19,17
"51816",0.909090909090909,0.0561797752808989,0.666666666666667,5,"ges","directed",19,17
"61816",0,0,NA,11,"arges","undirected",19,17
"71816",0,0,NA,11,"arges","directed",19,17
"21916",1,0.0256410256410256,0.916666666666667,1,"pc","undirected",20,17
"31916",1,0.0337078651685393,0.785714285714286,3,"pc","directed",20,17
"41916",1,0.0256410256410256,0.916666666666667,1,"ges","undirected",20,17
"51916",0.727272727272727,0.0786516853932584,0.533333333333333,6,"ges","directed",20,17
"61916",0,0,NA,11,"arges","undirected",20,17
"71916",0,0,NA,11,"arges","directed",20,17
"22016",1,0.0769230769230769,0.785714285714286,3,"pc","undirected",21,17
"32016",0.727272727272727,0.0674157303370786,0.571428571428571,6,"pc","directed",21,17
"42016",1,0.205128205128205,0.578947368421053,8,"ges","undirected",21,17
"52016",0.818181818181818,0.134831460674157,0.428571428571429,12,"ges","directed",21,17
"62016",0,0,NA,11,"arges","undirected",21,17
"72016",0,0,NA,11,"arges","directed",21,17
"22120",1,0.0256410256410256,0.916666666666667,1,"pc","undirected",22,17
"32120",1,0.0337078651685393,0.785714285714286,3,"pc","directed",22,17
"42120",1,0,1,0,"ges","undirected",22,17
"52120",1,0.0449438202247191,0.733333333333333,4,"ges","directed",22,17
"62120",0,0,NA,11,"arges","undirected",22,17
"72120",0,0,NA,11,"arges","directed",22,17
"22218",0.909090909090909,0.0256410256410256,0.909090909090909,2,"pc","undirected",23,17
"32218",0.818181818181818,0.0561797752808989,0.642857142857143,6,"pc","directed",23,17
"42218",0.909090909090909,0.0512820512820513,0.833333333333333,3,"ges","undirected",23,17
"52218",0.818181818181818,0.101123595505618,0.5,9,"ges","directed",23,17
"62218",0,0,NA,11,"arges","undirected",23,17
"72218",0,0,NA,11,"arges","directed",23,17
"22316",1,0.0256410256410256,0.916666666666667,1,"pc","undirected",24,17
"32316",0.818181818181818,0.0674157303370786,0.6,6,"pc","directed",24,17
"42316",1,0,1,0,"ges","undirected",24,17
"52316",0.909090909090909,0.0674157303370786,0.625,6,"ges","directed",24,17
"62316",0,0,NA,11,"arges","undirected",24,17
"72316",0,0,NA,11,"arges","directed",24,17
"22416",1,0.0256410256410256,0.916666666666667,1,"pc","undirected",25,17
"32416",0.818181818181818,0.0337078651685393,0.75,3,"pc","directed",25,17
"42416",1,0.0512820512820513,0.846153846153846,2,"ges","undirected",25,17
"52416",0.818181818181818,0.0786516853932584,0.5625,6,"ges","directed",25,17
"62416",0,0,NA,11,"arges","undirected",25,17
"72416",0,0,NA,11,"arges","directed",25,17
"22516",0.909090909090909,0.0256410256410256,0.909090909090909,2,"pc","undirected",26,17
"32516",0.545454545454545,0.0561797752808989,0.545454545454545,6,"pc","directed",26,17
"42516",1,0.0512820512820513,0.846153846153846,2,"ges","undirected",26,17
"52516",1,0.0449438202247191,0.733333333333333,4,"ges","directed",26,17
"62516",0,0,NA,11,"arges","undirected",26,17
"72516",0,0,NA,11,"arges","directed",26,17
"22616",1,0.0256410256410256,0.916666666666667,1,"pc","undirected",27,17
"32616",0.909090909090909,0.0337078651685393,0.769230769230769,3,"pc","directed",27,17
"42616",1,0.0512820512820513,0.846153846153846,2,"ges","undirected",27,17
"52616",0.727272727272727,0.0786516853932584,0.533333333333333,7,"ges","directed",27,17
"62616",0,0,NA,11,"arges","undirected",27,17
"72616",0,0,NA,11,"arges","directed",27,17
"22716",1,0.0256410256410256,0.916666666666667,1,"pc","undirected",28,17
"32716",0.818181818181818,0.0337078651685393,0.75,3,"pc","directed",28,17
"42716",1,0.0256410256410256,0.916666666666667,1,"ges","undirected",28,17
"52716",0.909090909090909,0.0561797752808989,0.666666666666667,5,"ges","directed",28,17
"62716",0,0,NA,11,"arges","undirected",28,17
"72716",0,0,NA,11,"arges","directed",28,17
"22816",0.909090909090909,0,1,1,"pc","undirected",29,17
"32816",0.636363636363636,0.0786516853932584,0.5,8,"pc","directed",29,17
"42816",0.909090909090909,0.0256410256410256,0.909090909090909,2,"ges","undirected",29,17
"52816",0.545454545454545,0.0561797752808989,0.545454545454545,6,"ges","directed",29,17
"62816",0,0,NA,11,"arges","undirected",29,17
"72816",0,0,NA,11,"arges","directed",29,17
"22916",1,0.0256410256410256,0.916666666666667,1,"pc","undirected",30,17
"32916",0.818181818181818,0.0561797752808989,0.642857142857143,5,"pc","directed",30,17
"42916",1,0.0256410256410256,0.916666666666667,1,"ges","undirected",30,17
"52916",0.636363636363636,0.0898876404494382,0.466666666666667,8,"ges","directed",30,17
"62916",0,0,NA,11,"arges","undirected",30,17
"72916",0,0,NA,11,"arges","directed",30,17
"23016",1,0.0512820512820513,0.846153846153846,2,"pc","undirected",31,17
"33016",1,0.0449438202247191,0.733333333333333,4,"pc","directed",31,17
"43016",1,0.0256410256410256,0.916666666666667,1,"ges","undirected",31,17
"53016",0.909090909090909,0.0674157303370786,0.625,6,"ges","directed",31,17
"63016",0,0,NA,11,"arges","undirected",31,17
"73016",0,0,NA,11,"arges","directed",31,17
"23120",1,0.0512820512820513,0.846153846153846,2,"pc","undirected",32,17
"33120",0.909090909090909,0.0561797752808989,0.666666666666667,5,"pc","directed",32,17
"43120",1,0.0512820512820513,0.846153846153846,2,"ges","undirected",32,17
"53120",0.818181818181818,0.0786516853932584,0.5625,7,"ges","directed",32,17
"63120",0,0,NA,11,"arges","undirected",32,17
"73120",0,0,NA,11,"arges","directed",32,17
"23218",1,0.0769230769230769,0.785714285714286,3,"pc","undirected",33,17
"33218",0.636363636363636,0.0786516853932584,0.5,7,"pc","directed",33,17
"43218",1,0.102564102564103,0.733333333333333,4,"ges","undirected",33,17
"53218",0.545454545454545,0.101123595505618,0.4,9,"ges","directed",33,17
"63218",0,0,NA,11,"arges","undirected",33,17
"73218",0,0,NA,11,"arges","directed",33,17
"23316",1,0.0256410256410256,0.916666666666667,1,"pc","undirected",34,17
"33316",0.818181818181818,0.0337078651685393,0.75,3,"pc","directed",34,17
"43316",1,0.0256410256410256,0.916666666666667,1,"ges","undirected",34,17
"53316",0.909090909090909,0.0674157303370786,0.625,6,"ges","directed",34,17
"63316",0,0,NA,11,"arges","undirected",34,17
"73316",0,0,NA,11,"arges","directed",34,17
"23416",1,0.0512820512820513,0.846153846153846,2,"pc","undirected",35,17
"33416",0.909090909090909,0.0561797752808989,0.666666666666667,5,"pc","directed",35,17
"43416",1,0.102564102564103,0.733333333333333,4,"ges","undirected",35,17
"53416",0.909090909090909,0.0786516853932584,0.588235294117647,7,"ges","directed",35,17
"63416",0,0,NA,11,"arges","undirected",35,17
"73416",0,0,NA,11,"arges","directed",35,17
"23516",1,0.0769230769230769,0.785714285714286,3,"pc","undirected",36,17
"33516",1,0.0449438202247191,0.733333333333333,4,"pc","directed",36,17
"43516",1,0.0256410256410256,0.916666666666667,1,"ges","undirected",36,17
"53516",1,0.0898876404494382,0.578947368421053,8,"ges","directed",36,17
"63516",0,0,NA,11,"arges","undirected",36,17
"73516",0,0,NA,11,"arges","directed",36,17
"23616",0.909090909090909,0.0512820512820513,0.833333333333333,3,"pc","undirected",37,17
"33616",0.636363636363636,0.0786516853932584,0.5,8,"pc","directed",37,17
"43616",0.909090909090909,0.102564102564103,0.714285714285714,5,"ges","undirected",37,17
"53616",0.363636363636364,0.123595505617978,0.266666666666667,12,"ges","directed",37,17
"63616",0,0,NA,11,"arges","undirected",37,17
"73616",0,0,NA,11,"arges","directed",37,17
"23716",1,0,1,0,"pc","undirected",38,17
"33716",0.909090909090909,0.0449438202247191,0.714285714285714,4,"pc","directed",38,17
"43716",1,0.0256410256410256,0.916666666666667,1,"ges","undirected",38,17
"53716",0.818181818181818,0.101123595505618,0.5,9,"ges","directed",38,17
"63716",0,0,NA,11,"arges","undirected",38,17
"73716",0,0,NA,11,"arges","directed",38,17
"23816",1,0,1,0,"pc","undirected",39,17
"33816",0.818181818181818,0.0449438202247191,0.692307692307692,4,"pc","directed",39,17
"43816",1,0.0256410256410256,0.916666666666667,1,"ges","undirected",39,17
"53816",0.727272727272727,0.0786516853932584,0.533333333333333,7,"ges","directed",39,17
"63816",0,0,NA,11,"arges","undirected",39,17
"73816",0,0,NA,11,"arges","directed",39,17
"23916",0.909090909090909,0.0769230769230769,0.769230769230769,4,"pc","undirected",40,17
"33916",0.909090909090909,0.0561797752808989,0.666666666666667,6,"pc","directed",40,17
"43916",0.818181818181818,0.128205128205128,0.642857142857143,7,"ges","undirected",40,17
"53916",0.454545454545455,0.101123595505618,0.357142857142857,11,"ges","directed",40,17
"63916",0,0,NA,11,"arges","undirected",40,17
"73916",0,0,NA,11,"arges","directed",40,17
"24016",1,0.0512820512820513,0.846153846153846,2,"pc","undirected",41,17
"34016",0.909090909090909,0.0337078651685393,0.769230769230769,3,"pc","directed",41,17
"44016",1,0.0769230769230769,0.785714285714286,3,"ges","undirected",41,17
"54016",0.909090909090909,0.101123595505618,0.526315789473684,8,"ges","directed",41,17
"64016",0,0,NA,11,"arges","undirected",41,17
"74016",0,0,NA,11,"arges","directed",41,17
"24120",1,0.0256410256410256,0.916666666666667,1,"pc","undirected",42,17
"34120",0.727272727272727,0.0561797752808989,0.615384615384615,5,"pc","directed",42,17
"44120",1,0.128205128205128,0.6875,5,"ges","undirected",42,17
"54120",0.545454545454545,0.112359550561798,0.375,10,"ges","directed",42,17
"64120",0,0,NA,11,"arges","undirected",42,17
"74120",0,0,NA,11,"arges","directed",42,17
"24218",1,0,1,0,"pc","undirected",43,17
"34218",0.909090909090909,0.0224719101123595,0.833333333333333,2,"pc","directed",43,17
"44218",1,0.0256410256410256,0.916666666666667,1,"ges","undirected",43,17
"54218",0.909090909090909,0.0449438202247191,0.714285714285714,4,"ges","directed",43,17
"64218",0,0,NA,11,"arges","undirected",43,17
"74218",0,0,NA,11,"arges","directed",43,17
"24316",1,0.0256410256410256,0.916666666666667,1,"pc","undirected",44,17
"34316",0.909090909090909,0.0561797752808989,0.666666666666667,5,"pc","directed",44,17
"44316",1,0.0256410256410256,0.916666666666667,1,"ges","undirected",44,17
"54316",0.909090909090909,0.0674157303370786,0.625,6,"ges","directed",44,17
"64316",0,0,NA,11,"arges","undirected",44,17
"74316",0,0,NA,11,"arges","directed",44,17
"24416",1,0,1,0,"pc","undirected",45,17
"34416",0.818181818181818,0.0224719101123595,0.818181818181818,2,"pc","directed",45,17
"44416",1,0.0256410256410256,0.916666666666667,1,"ges","undirected",45,17
"54416",0.636363636363636,0.0674157303370786,0.538461538461538,6,"ges","directed",45,17
"64416",0,0,NA,11,"arges","undirected",45,17
"74416",0,0,NA,11,"arges","directed",45,17
"24516",1,0.0512820512820513,0.846153846153846,2,"pc","undirected",46,17
"34516",0.909090909090909,0.0337078651685393,0.769230769230769,3,"pc","directed",46,17
"44516",1,0.0769230769230769,0.785714285714286,3,"ges","undirected",46,17
"54516",0.909090909090909,0.0561797752808989,0.666666666666667,5,"ges","directed",46,17
"64516",0,0,NA,11,"arges","undirected",46,17
"74516",0,0,NA,11,"arges","directed",46,17
"24616",1,0.0769230769230769,0.785714285714286,3,"pc","undirected",47,17
"34616",1,0.0337078651685393,0.785714285714286,3,"pc","directed",47,17
"44616",1,0.0769230769230769,0.785714285714286,3,"ges","undirected",47,17
"54616",0.545454545454545,0.112359550561798,0.375,10,"ges","directed",47,17
"64616",0,0,NA,11,"arges","undirected",47,17
"74616",0,0,NA,11,"arges","directed",47,17
"24716",0.909090909090909,0.0256410256410256,0.909090909090909,2,"pc","undirected",48,17
"34716",0.818181818181818,0.0449438202247191,0.692307692307692,5,"pc","directed",48,17
"44716",0.909090909090909,0.102564102564103,0.714285714285714,5,"ges","undirected",48,17
"54716",0.909090909090909,0.0898876404494382,0.555555555555556,8,"ges","directed",48,17
"64716",0,0,NA,11,"arges","undirected",48,17
"74716",0,0,NA,11,"arges","directed",48,17
"24816",0.909090909090909,0.0256410256410256,0.909090909090909,2,"pc","undirected",49,17
"34816",0.727272727272727,0.0449438202247191,0.666666666666667,5,"pc","directed",49,17
"44816",1,0,1,0,"ges","undirected",49,17
"54816",1,0.0449438202247191,0.733333333333333,4,"ges","directed",49,17
"64816",0,0,NA,11,"arges","undirected",49,17
"74816",0,0,NA,11,"arges","directed",49,17
"24916",0.909090909090909,0.0512820512820513,0.833333333333333,3,"pc","undirected",50,17
"34916",0.909090909090909,0.0224719101123595,0.833333333333333,3,"pc","directed",50,17
"44916",0.909090909090909,0.0769230769230769,0.769230769230769,4,"ges","undirected",50,17
"54916",0.818181818181818,0.101123595505618,0.5,9,"ges","directed",50,17
"64916",0,0,NA,11,"arges","undirected",50,17
"74916",0,0,NA,11,"arges","directed",50,17
"2400",1,0,1,0,"pc","undirected",1,18
"3400",1,0,1,0,"pc","directed",1,18
"4400",1,0,1,0,"ges","undirected",1,18
"5400",0.8,0.1,0.666666666666667,2,"ges","directed",1,18
"6400",0,0,NA,5,"arges","undirected",1,18
"7400",0,0,NA,5,"arges","directed",1,18
"21103",1,0.266666666666667,0.714285714285714,2,"pc","undirected",2,18
"31103",0.6,0.25,0.375,5,"pc","directed",2,18
"41103",1,0.133333333333333,0.833333333333333,1,"ges","undirected",2,18
"51103",0.8,0.3,0.4,5,"ges","directed",2,18
"61103",0.8,0.133333333333333,0.8,2,"arges","undirected",2,18
"71103",0.8,0.3,0.4,6,"arges","directed",2,18
"22101",1,0,1,0,"pc","undirected",3,18
"32101",1,0.15,0.625,3,"pc","directed",3,18
"42101",1,0,1,0,"ges","undirected",3,18
"52101",1,0.15,0.625,3,"ges","directed",3,18
"62101",0,0,NA,5,"arges","undirected",3,18
"72101",0,0,NA,5,"arges","directed",3,18
"23101",1,0,1,0,"pc","undirected",4,18
"33101",0.8,0.1,0.666666666666667,2,"pc","directed",4,18
"43101",1,0,1,0,"ges","undirected",4,18
"53101",1,0.15,0.625,3,"ges","directed",4,18
"63101",0,0,NA,5,"arges","undirected",4,18
"73101",0,0,NA,5,"arges","directed",4,18
"24101",1,0,1,0,"pc","undirected",5,18
"34101",0.8,0.15,0.571428571428571,3,"pc","directed",5,18
"44101",1,0,1,0,"ges","undirected",5,18
"54101",1,0.15,0.625,3,"ges","directed",5,18
"64101",0,0,NA,5,"arges","undirected",5,18
"74101",0,0,NA,5,"arges","directed",5,18
"2521",1,0,1,0,"pc","undirected",6,18
"3521",1,0.05,0.833333333333333,1,"pc","directed",6,18
"4521",1,0,1,0,"ges","undirected",6,18
"5521",1,0.15,0.625,3,"ges","directed",6,18
"6521",0,0,NA,5,"arges","undirected",6,18
"7521",0,0,NA,5,"arges","directed",6,18
"2619",1,0,1,0,"pc","undirected",7,18
"3619",0.8,0.15,0.571428571428571,3,"pc","directed",7,18
"4619",1,0,1,0,"ges","undirected",7,18
"5619",1,0.15,0.625,3,"ges","directed",7,18
"6619",0,0,NA,5,"arges","undirected",7,18
"7619",0,0,NA,5,"arges","directed",7,18
"2717",1,0.133333333333333,0.833333333333333,1,"pc","undirected",8,18
"3717",0.8,0.15,0.571428571428571,3,"pc","directed",8,18
"4717",1,0.133333333333333,0.833333333333333,1,"ges","undirected",8,18
"5717",0.8,0.15,0.571428571428571,3,"ges","directed",8,18
"6717",0.2,0,1,4,"arges","undirected",8,18
"7717",0.2,0.05,0.5,5,"arges","directed",8,18
"2817",1,0,1,0,"pc","undirected",9,18
"3817",0.8,0.1,0.666666666666667,2,"pc","directed",9,18
"4817",1,0,1,0,"ges","undirected",9,18
"5817",0.8,0.1,0.666666666666667,2,"ges","directed",9,18
"6817",0,0,NA,5,"arges","undirected",9,18
"7817",0,0,NA,5,"arges","directed",9,18
"2917",1,0,1,0,"pc","undirected",10,18
"3917",0.8,0.05,0.8,1,"pc","directed",10,18
"4917",1,0,1,0,"ges","undirected",10,18
"5917",0.8,0.1,0.666666666666667,2,"ges","directed",10,18
"6917",0,0,NA,5,"arges","undirected",10,18
"7917",0,0,NA,5,"arges","directed",10,18
"21017",1,0,1,0,"pc","undirected",11,18
"31017",1,0.15,0.625,3,"pc","directed",11,18
"41017",1,0,1,0,"ges","undirected",11,18
"51017",1,0.15,0.625,3,"ges","directed",11,18
"61017",0,0,NA,5,"arges","undirected",11,18
"71017",0,0,NA,5,"arges","directed",11,18
"21121",1,0,1,0,"pc","undirected",12,18
"31121",0.8,0.05,0.8,1,"pc","directed",12,18
"41121",1,0,1,0,"ges","undirected",12,18
"51121",0.8,0.2,0.5,4,"ges","directed",12,18
"61121",0,0,NA,5,"arges","undirected",12,18
"71121",0,0,NA,5,"arges","directed",12,18
"21219",0.8,0,1,1,"pc","undirected",13,18
"31219",0.4,0.1,0.5,3,"pc","directed",13,18
"41219",0.8,0,1,1,"ges","undirected",13,18
"51219",0.6,0.15,0.5,4,"ges","directed",13,18
"61219",0,0,NA,5,"arges","undirected",13,18
"71219",0,0,NA,5,"arges","directed",13,18
"21317",1,0,1,0,"pc","undirected",14,18
"31317",1,0.15,0.625,3,"pc","directed",14,18
"41317",1,0,1,0,"ges","undirected",14,18
"51317",1,0.15,0.625,3,"ges","directed",14,18
"61317",0,0,NA,5,"arges","undirected",14,18
"71317",0,0,NA,5,"arges","directed",14,18
"21417",1,0.133333333333333,0.833333333333333,1,"pc","undirected",15,18
"31417",0.8,0.15,0.571428571428571,3,"pc","directed",15,18
"41417",1,0,1,0,"ges","undirected",15,18
"51417",1,0.15,0.625,3,"ges","directed",15,18
"61417",0,0,NA,5,"arges","undirected",15,18
"71417",0,0,NA,5,"arges","directed",15,18
"21517",1,0.133333333333333,0.833333333333333,1,"pc","undirected",16,18
"31517",0.8,0.1,0.666666666666667,2,"pc","directed",16,18
"41517",1,0.133333333333333,0.833333333333333,1,"ges","undirected",16,18
"51517",0.6,0.35,0.3,6,"ges","directed",16,18
"61517",0.2,0,1,4,"arges","undirected",16,18
"71517",0.2,0.05,0.5,5,"arges","directed",16,18
"21617",1,0,1,0,"pc","undirected",17,18
"31617",1,0.1,0.714285714285714,2,"pc","directed",17,18
"41617",1,0,1,0,"ges","undirected",17,18
"51617",1,0.15,0.625,3,"ges","directed",17,18
"61617",0,0,NA,5,"arges","undirected",17,18
"71617",0,0,NA,5,"arges","directed",17,18
"21717",1,0,1,0,"pc","undirected",18,18
"31717",0.8,0.1,0.666666666666667,2,"pc","directed",18,18
"41717",1,0,1,0,"ges","undirected",18,18
"51717",1,0.15,0.625,3,"ges","directed",18,18
"61717",0,0,NA,5,"arges","undirected",18,18
"71717",0,0,NA,5,"arges","directed",18,18
"21817",1,0,1,0,"pc","undirected",19,18
"31817",0.8,0.05,0.8,1,"pc","directed",19,18
"41817",1,0,1,0,"ges","undirected",19,18
"51817",0.8,0.1,0.666666666666667,2,"ges","directed",19,18
"61817",0,0,NA,5,"arges","undirected",19,18
"71817",0,0,NA,5,"arges","directed",19,18
"21917",1,0.133333333333333,0.833333333333333,1,"pc","undirected",20,18
"31917",0.8,0.1,0.666666666666667,2,"pc","directed",20,18
"41917",1,0.133333333333333,0.833333333333333,1,"ges","undirected",20,18
"51917",0.6,0.2,0.428571428571429,4,"ges","directed",20,18
"61917",0,0,NA,5,"arges","undirected",20,18
"71917",0,0,NA,5,"arges","directed",20,18
"22017",0.8,0,1,1,"pc","undirected",21,18
"32017",0.8,0.1,0.666666666666667,3,"pc","directed",21,18
"42017",0.8,0,1,1,"ges","undirected",21,18
"52017",0.8,0.1,0.666666666666667,3,"ges","directed",21,18
"62017",0,0,NA,5,"arges","undirected",21,18
"72017",0,0,NA,5,"arges","directed",21,18
"22121",0.6,0,1,2,"pc","undirected",22,18
"32121",0.4,0.1,0.5,4,"pc","directed",22,18
"42121",0.6,0,1,2,"ges","undirected",22,18
"52121",0.6,0.15,0.5,5,"ges","directed",22,18
"62121",0,0,NA,5,"arges","undirected",22,18
"72121",0,0,NA,5,"arges","directed",22,18
"22219",1,0,1,0,"pc","undirected",23,18
"32219",0.6,0.1,0.6,2,"pc","directed",23,18
"42219",1,0,1,0,"ges","undirected",23,18
"52219",0.8,0.2,0.5,4,"ges","directed",23,18
"62219",0,0,NA,5,"arges","undirected",23,18
"72219",0,0,NA,5,"arges","directed",23,18
"22317",1,0,1,0,"pc","undirected",24,18
"32317",0.8,0.05,0.8,1,"pc","directed",24,18
"42317",1,0,1,0,"ges","undirected",24,18
"52317",1,0.15,0.625,3,"ges","directed",24,18
"62317",0,0,NA,5,"arges","undirected",24,18
"72317",0,0,NA,5,"arges","directed",24,18
"22417",0.8,0,1,1,"pc","undirected",25,18
"32417",0.6,0.05,0.75,2,"pc","directed",25,18
"42417",0.8,0.133333333333333,0.8,2,"ges","undirected",25,18
"52417",0.8,0.2,0.5,4,"ges","directed",25,18
"62417",0,0,NA,5,"arges","undirected",25,18
"72417",0,0,NA,5,"arges","directed",25,18
"22517",1,0,1,0,"pc","undirected",26,18
"32517",0.8,0.15,0.571428571428571,3,"pc","directed",26,18
"42517",0.8,0,1,1,"ges","undirected",26,18
"52517",0.8,0.2,0.5,5,"ges","directed",26,18
